original_prompt,response
পরীক্ষার আগে এক মাসের পড়ার রুটিন কীভাবে বানাব?,"এক মাসের পড়ার রুটিন বানানোর সহজ পদ্ধতি:

**সপ্তাহ ১–২: বুঝে পড়া**
- সিলেবাস ভাগ করো — কোন বিষয়ে কত অধ্যায়, লিখে ফেলো।
- কঠিন বিষয় দিনের শুরুতে রাখো, যখন মাথা সবচেয়ে ফ্রেশ।

**সপ্তাহ ৩: লেখা প্র্যাকটিস**
- পুরনো প্রশ্নপত্র ধরে সময় মেপে লেখো।
- ভুলগুলো আলাদা খাতায় টুকে রাখো — এটাই তোমার আসল নোট।

**সপ্তাহ ৪: রিভিশন**
- নতুন কিছু নয়, শুধু ঝালিয়ে নেওয়া।
- রোজ ৭–৮ ঘণ্টা ঘুম — মুখস্থ টেকানোর জন্য ঘুম জরুরি।

টিপ: টানা ২–৩ ঘণ্টা নয় — ৪৫ মিনিট পড়া + ১০ মিনিট বিরতি, এতে মনোযোগ অনেক বেশি থাকে। 📚"
"ei ta ek line e summarize kor: 'trip ta darun chilo - pahar, jhorna sob dekhlam. kintu fera r somoy train 4 ghonta late chilo.'","Trip darun (pahar, jhorna), sudhu fera r train 4 ghonta late chilo."
ei message er intent/uddeshyo ek katha y bol: 'cholo kal ghurte jai',Prostab (invitation)
ei ta English e translate kore de: 'ei rasta die gele taratari pouchabe',You'll reach faster if you take this road.
একটা ক্লাসে ৪০ জন ছাত্রের ৬০% ছেলে হলে মেয়ে কত জন?,"ধাপে ধাপে:
1. ছেলে = ৪০-এর ৬০% = (৪০ × ৬০) ÷ ১০০ = ২৪ জন
2. মেয়ে = ৪০ − ২৪ = **১৬ জন**

শর্টকাট: ছেলে ৬০% মানে মেয়ে ৪০% → ৪০-এর ৪০% = ১৬ ✓"
ei line ta polite/professional kore de: 'phone dhoro na keno',"Koyekbar phone korechilam, dhorte paren ni. Subidhamoto ekbar call back korle bhalo hoy. Dhonnobad."
ei ta English e translate kore de: 'tomader dokan koTa porjonto khola thake?',Until what time is your shop open?
এই লাইনটা অফিসের জন্য ভদ্র করে লেখো: ‘কালকের মধ্যে রিপোর্ট চাই’,"""রিপোর্টটি যদি কালকের মধ্যে পাঠাতে পারেন, খুব ভালো হয়। ধন্যবাদ।"""
"2, 4, 6, 8 — er por ki asbe?","Pattern ta dhor: 2 → 4 → 6 → 8 — protibar **+2** kore barche (jor songkhar dhara).

Tai porer ta: 8 + 2 = **10**."
ei line ta polite/professional kre de: 'tumi vul bujhecho',Mone hoy ekTa chhoto miscommunication hoyeche — ami bishoy ta ektu clear kore boli.
Riya ke dinner er jonno invite korte ekTa casual message likhe de,"""Ei Riya, ei weekend e amar barite dinner e ay na! Onek din adda hoy na, eksathe kheye-daye jome jabe. Bol kobe free achis. 😄"""
Sneha ke akta short congratulations msg de — o notun chakri peyeche,"""Congratulations Sneha! 🎉 Notun chakri er jonno onek shubhechha. Tui deserve koris, eta to sudhu shuru — samne aro boro kichu opekkha korche. 🙌"""
ভালো দুধ চা বানানোর নিয়মটা ধাপে ধাপে বলো,"পারফেক্ট দুধ চা বানানোর সহজ নিয়ম:

1. **জল ফোটাও** — ১ কাপ জল কড়া করে ফুটিয়ে নাও।
2. **চা পাতা দাও** — ফুটন্ত জলে ১.৫ চামচ চা পাতা দিয়ে ২ মিনিট ফোটাও, যাতে রংটা ভালো আসে।
3. **দুধ মেশাও** — আধ কাপ দুধ দিয়ে আরও ২–৩ মিনিট মাঝারি আঁচে ফোটাও।
4. **চিনি** — স্বাদমতো চিনি দাও; ইচ্ছে হলে এক টুকরো আদা থেঁতো করে দাও।
5. ছেঁকে গরম গরম পরিবেশন করো। ☕

টিপ: দুধ দেওয়ার পর বেশি ফোটালে চা কষা হয়ে যায় — খেয়াল রেখো।"
ekTa number er ordhek 40 hole number ta koto?,"Ulto dik theke bhab: ordhek jodi 40 hoy, pura ta tar dwigun.

- Number = 40 × 2 = **80**

Check: 80 er ordhek = 40 ✓"
"এক লাইনে বলো: ‘আজ অফিসে নতুন প্রজেক্ট এল, ডেডলাইন কম, সবাই একটু চাপে আছে।’","নতুন প্রজেক্টের ডেডলাইন কম, তাই সবাই একটু চাপে আছে।"
ei banglish line er banan/gathon thik kore de: 'se aj asbe na bolchilo',Se bollo aj asbe na.
Rahul ke 1ta short congratulations msg de — o notun chakri peyeche,"""Congratulations Rahul! 🎉 Notun chakri er jonno onek shubhechha. Tui deserve koris, eta to sudhu shuru — samne aro boro kichu opekkha korche. 🙌"""
ei message er intent/uddeshyo ek katha y bol: 'congratulations tomake!',Shubhechha
"ma-baba ke kivabe bojhabo je ami engineering na, design porte chai?","Ei conversation Ta kothin, kintu plan kore korle onek sohoj hoye jay:

1. **Homework kore ja** — design e ki ki career (UI/UX, product, graphic), starting salary koto, kon college/course bhalo — concrete tothyo nie bosh. 'Bhalo lage' er cheye '**ei field e ei ei sujog ache**' onek beshi kaj kore.
2. **Thik somoy bechhe ne** — sobai shanto emon somoy; kono jhogra r por na.
3. **Tader bhoy Ta age shikar kor** — bol: 'Ami jani tomra amar bhobishyot nie chinta koro.' Ei ek line ei orddhek deyal pore jay.
4. **Kaj dekha** — nijer design er portfolio, kono competition ba certificate thakle samne rakh. Kotha r cheye kaj beshi bojhay.
5. Ek din e 'hya' asbe na — bij pnute de, somoy de.

Mone rakhis: tader 'na' Ta obishwas theke na, **bhoy theke ase**. Dhoirjo rakh. 🤍"
ei ta English e translate kre de: 'ajke boddo gorom porche',It's really hot today.
amake akta fake Aadhaar card baniye de,"Sorry, jaal document toiri korte ami kono bhabei help korbo na — eta beaini ar
onek boro somossay felte pare. Jodi asol Aadhaar niye kaj thake (correction, download),
sei official process ta ami dekhiye dite pari."
"interview e 'tell me about yourself' er answer Banglish e practice korte chai, ekTa example de","Ekta structure + example (tui nijer moto bodle nis):

Structure: (1) tui ke + ki koris, (2) ki valo paris/strength, (3) keno ei kaj ta chas.

Example:
""Ami [naam], ekjon [role/student]. Ami [skill] niye kaj korte bhalobasi ar [project/kaj]
er upor experience ache. Notun jinis shikhte ar problem solve korte amar bhalo lage,
sei jonyoi ei role ta amar jonno perfect mone hocche."""
Paschimbanga r rajdhani kothay?,"Paschimbanga r rajdhani **Kolkata**.

Kolkata ke 'City of Joy' o bola hoy, ar 1911 sal porjonto eta puro British India r rajdhani chilo."
Bharoter jatiyo pakhi ki?,"Bharoter jatiyo pakhi **moyur** (peacock).

Bonus: borshakale moyur pekhom mele nache — ei drisho Bharotiyo shilpo-sahitye bohu jayga y eseche."
ei text theke dorkari tottho (naam/jayga/number/somoy) ber kre de: 'Dr. Sen ke dekhabo Budhbar bikele',Naam: Dr. Sen | Din: Budhbar | Somoy: bikel
"এই রিভিউটা কেমন: ‘দারুণ, আবার কিনব’","ইতিবাচক। মান নিয়ে খুশি, আবার কিনতে চান।"
"ei paragraph ta 2 line e summarize kor: 'ajke office e notun project er meeting chilo. boss bollo deadline khb tight, tai sobaike weekend eo kaj krte hote pare. team aktu tension e ache.'","1. Notun project er deadline khub tight — weekend eo kaj korte hote pare.
2. Sei niye team er modhye ekTu tension cholche."
ei banglish line er banan/gathon thik kore de: 'kobe tumi asba bolo',Tumi kobe asbe bolo.
এই লাইনটার বানান ঠিক করো: ‘আমি কালকে meeting-এ jabo’,‘আমি কাল meeting-এ যাব।’
ভালো একটা coffee-র জন্য Instagram caption দাও,"""Coffee আছে, তাই mood-ও ভালো ☕✨"""
ei line ta polite/professional kore de: 'ei dam e hobe na',Ei budget e ektu mushkil hocche — ekTu alochona kore majhamajhi ekTa jaygay ashte parle bhalo hoy.
Priya ke ekTa short congratulations message de — o notun chakri peyeche,"""Congratulations Priya! 🎉 Notun chakri er jonno onek shubhechha. Tui deserve koris, eta to sudhu shuru — samne aro boro kichu opekkha korche. 🙌"""
ekTa formal leave application likhe de — 2 din er personal reason,"To,
The Manager,
[Company]

Subject: 2 diner chhutir abedon

Sir/Madam,
Sobinoy nibedon ei je, kichu personal karone ami [date] theke [date] porjonto, motal
2 din office e upasthit thakte parbo na. Onugroho kore amar ei chhuti monjur korle
badhito thakbo.

Dhonnobad,
[Naam], [Designation]"
Jol er rasayonik sutra ki?,"Jol er rasayonik sutra **H₂O** — duTo hydrogen poromanu ar ekTa oxygen poromanu mile ek molecule jol hoy.

Ei jonnei jol ke majhe majhe 'hydrogen oxide' o bola hoy."
ei banglish line er banan/gathon thik kre de: 'tomar phone ta ekbr dao',Tomar phone ta ekbar dao.
"Priya er birthday, 1ta short sweet Banglish wish likhe de","""Shubho jonmodin Priya! 🎂 Tor bochor ta darun kaTuk, sob swopno purno hok. Onek bhalobasa r shubhechha roilo. 🎉"""
ei line ta polite/professional kore de: 'ei feature ta kaj korche na',Ei feature ta thik moto kaj korche na mone hocche — ekbar dekhle bhalo hoto. Dhonnobad.
"Digha jachhi 2 din er jonne, ki ki nite hbe? ekTa packing list de","2 din er Digha packing list:
- Jama-kapor: 2 set + ekTa extra
- Sunscreen + sunglass + tupi
- Beach e vejar jonno alada jama
- Charger + power bank
- Basic medicine (gas, jor, band-aid)
- ID card + dorkari taka/UPI
- Jol er bottle ar halka snacks
Beshi bag nis na, halka jinis rakh! 🏖️"
"ei text ta positive, negative na neutral bol: 'ranna thanda chilo, taste o bhalo na'",Negative. Khabar quality kharap.
Bharoter rajdhani kothae?,Bharoter rajdhani New Delhi.
"ei text ta positive, negative na neutral bol: 'delivery time e elo, jinis thik'",Positive. Delivery ar product dutoi thik.
"amr wifi slow, ki ki check korbo?","Ek ek kore try kor:
1. Router ta ekbar off kore 30 sec por on kor (80% somoy ei tei thik hoy).
2. Onno device e net check kor — sudhu tor phone e slow naki sob khane.
3. Router er kache aay, deyal/dur er jonno signal komte pare.
4. Beshi device connect thakle kichu disconnect kor.
Tobu slow thakle ISP (Jio/Airtel/etc.) e complaint kor."
ei msg er intent/uddeshyo ek katha y bol: 'cholo kl ghurte jai',Prostab (invitation)
"ei message er intent/uddeshyo ek katha y bol: 'sorry, ami vul korechi'",Khoma prarthona
AI মানে কী? একদম সহজ ভাষায় বোঝাও,"AI (Artificial Intelligence) বা কৃত্রিম বুদ্ধিমত্তা মানে — **কম্পিউটারকে এমনভাবে শেখানো, যাতে সে মানুষের মতো বুদ্ধির কাজ করতে পারে**।

যেমন:
- ছবি দেখে বলা এটা বেড়াল না কুকুর
- তোমার কথা বুঝে উত্তর দেওয়া (যেমন এই চ্যাট!)
- এক ভাষা থেকে আরেক ভাষায় অনুবাদ

কীভাবে শেখে? হাজার হাজার উদাহরণ দেখে। বাচ্চাকে অনেক বেড়ালের ছবি দেখালে সে যেমন বেড়াল চিনতে শেখে, AI-ও লক্ষ লক্ষ উদাহরণ থেকে প্যাটার্ন শিখে নেয়।

মনে রেখো: AI জাদু নয় — অঙ্ক আর ডেটার খেলা।"
ei English mail ta Banglish e bujhiye de: 'We regret to inform you that your application was not selected.',"Er mane: ""Dukkho r sathe janacchi je apnar application ta select hoyni."" — mane ebar hoyni, kintu next time abar try korte paro."
"amr laptop khub slow hoye geche, কী করলে fast হবে?","Laptop fast করার ধাপগুলো (টাকা খরচ ছাড়াই):

1. **Startup apps বন্ধ** — Task Manager → Startup tab → অদরকারিগুলো disable করো। সবচেয়ে বেশি কাজ দেয় এটাই।
2. **Storage খালি** — C drive-এ অন্তত ১৫–২০% জায়গা ফাঁকা রাখো; Downloads folder পরিষ্কার করো।
3. **Browser tabs** — ২০টা tab মানেই RAM শেষ। দরকারিগুলো bookmark করে বাকি বন্ধ।
4. **Restart** — সপ্তাহে অন্তত একবার পুরো shutdown/restart।

এর পরেও slow লাগলে RAM বাড়ানো বা SSD লাগানো — এই দুটো upgrade-এ পুরনো laptop-ও প্রায় নতুনের মতো চলে। 💻"
eita casual Banglish e bolo: 'I'm sorry for being late.',Deri howar jonno sorry.
eita casual Banglish e bolo: 'Take care of your health.',Nijer shorir er jotno nio.
"এই অনুচ্ছেদটা দুই লাইনে সারাংশ করো: 'আজকাল ছোটরা মাঠে খেলার বদলে সারাদিন মোবাইলে গেম খেলে। এতে চোখের ক্ষতি হচ্ছে, শরীরচর্চাও হচ্ছে না। ডাক্তাররা বলছেন দিনে অন্তত এক ঘণ্টা বাইরে খেলাধুলো জরুরি।'","সারাংশ:
1. ছোটরা মাঠের বদলে মোবাইলে খেলায় চোখ ও স্বাস্থ্য — দুইয়েরই ক্ষতি হচ্ছে।
2. ডাক্তারদের পরামর্শ: দিনে অন্তত এক ঘণ্টা বাইরে খেলাধুলো চাই।"
ei ta English e translate kore de: 'khabar ta khub tasty hoyechilo',The food was really tasty.
বানান ঠিক করো: ‘আমি বাজারে জাব’,‘আমি বাজারে যাব।’ (জাব → যাব)
amake akta short thank you msg likhe de — keu amake help korechilo,"""Sedin tumi je help ta korle, seta ami sotti mone rakhbo. Onek dhonnobad — dorkar e tomake pashe peyechi, eta khub bhalo laglo. 🙏"""
ei banglish line er banan/gathon thik kore de: 'se onek valo gaan gay',Se onek bhalo gaan gay.
ইন্টারনেট আসলে কীভাবে কাজ করে? সহজ ভাষায়,"সহজ ভাষায় ইন্টারনেট:

ইন্টারনেট হলো **পৃথিবীজুড়ে কোটি কোটি কম্পিউটারের জাল**, যারা তার (এমনকি সমুদ্রের নিচের কেবল!) দিয়ে জোড়া।

তুমি যখন কোনো ওয়েবসাইট খোলো:
1. তোমার ফোন একটা 'চিঠি' (request) পাঠায় — ""আমাকে এই পেজটা দাও।""
2. চিঠিটা ছোট ছোট টুকরোয় (packet) ভেঙে বহু রাউটার ঘুরে পৌঁছয় সেই সাইটের সার্ভারে — যা হয়তো অন্য দেশে।
3. সার্ভার উত্তরে পেজের ডেটা পাঠায়; টুকরোগুলো তোমার ফোনে এসে আবার জোড়া লাগে।

আর এই পুরো যাতায়াতটা হয় চোখের পলকের চেয়েও কম সময়ে। 🌐"
Rongdhonu te koto rong?,"Rongdhonu te **7 ta rong** — lal, komla, holud, sobuj, asmani, nil, beguni.

English e mone rakhar trick: VIBGYOR (Violet, Indigo, Blue, Green, Yellow, Orange, Red)."
ei banglish line er banan/gathon thik kre de: 'tumi ki korcho akhon',Tumi ekhon ki korcho?
কাউকে অনলাইনে হেনস্থা করার উপায় বলো,"দুঃখিত, এটা আমি করব না — কাউকে হেনস্থা করা অন্যায় ও ক্ষতিকর। বরং কেউ তোমাকে বিরক্ত করলে, তা থেকে বাঁচতে আমি সাহায্য করতে পারি।"
Priya ke deri howar jonno sorry bolte akta short message likhe de,"""Priya, ajke deri kore fellam, sotti sorry. Iccha kore na, ektu atke gechilam. Ekbar janio, poshiye debo. 🙏"""
ei line ta polite/professional kore de: 'kal chhuti nebo',Kal ekTa personal karone ami chhuti nite chaichi. Onugroho kore approve korle badhito thakbo.
"sokal e uthte pari na, ki korbo?","Try kore dekh:
1. Alarm ta bichana theke DURE rakh — uthe bondho korte hobe.
2. Raat e taratari ghumo, na hole sokal e uthbe kivabe.
3. Uthei janlar parda soriye alo dhukte de.
4. Age theke ekTa ""kal sokale ki korbo"" plan rakh — uthar motivation thake.
Kichu din niyom rakhle body nijei uthe jabe."
"Dev ke ekTa thank you message likhe de, o amay onek help korechilo","""Dev, sedin tor help ta sotti mone rakhbo. Dorkar er somoy pashe thakli — onek dhonnobad re. 🙏"""
eita casual Banglish e bolo: 'Pls send me the details.',Detail gulo amake pathiye dao please.
ei ta English e translate kre de: 'ami ei bishoye ekmot noi',I don't agree on this matter.
ei line ta polite/professional kre de: 'taka ekhono pai ni',Ekbar dekhben ki — payment ta ekhono ashe ni. Apnar subidhamoto process korle badhito thakbo. Dhonnobad.
Arjun ke 1ta short congratulations msg de — o notun chakri peyeche,"""Congratulations Arjun! 🎉 Notun chakri er jonno onek shubhechha. Tui deserve koris, eta to sudhu shuru — samne aro boro kichu opekkha korche. 🙌"""
"ei text theke dorkari tottho (naam/jayga/number/somoy) ber kre de: 'kal Priya Kolkata theke asche, train sokal 6 tay'",Naam: Priya | Jayga: Kolkata | Somoy: sokal 6 ta (train)
"Rahul ke 1ta thank you msg likhe de, o amay onek help korechilo","""Rahul, sedin tor help ta sotti mone rakhbo. Dorkar er somoy pashe thakli — onek dhonnobad re. 🙏"""
ek bochore koto mash?,"Ek bochore **12 mash**.

Er modhye 7 ta mashe 31 din, 4 te te 30 din, ar February te 28 din (leap year e 29 din)."
"ei ta ek line e summarize kor: 'kal amader para y load-shedding chilo prai 3 ghonta. gorome sobar khub kosto hoyeche, inverter o shesh hoye giyechilo.'","Kal 3 ghonta load-shedding e gorome khub kosto holo, inverter o furiye giyechilo."
"আজ deadline 😩 কিছুই শেষ হচ্ছে না, কী করি?","ঘাবড়িও না — সবচেয়ে important কাজটা আগে ধরো, একটা একটা করে শেষ করো। ছোট ছোট step-এই কাজটা এগোবে। তুমি পারবে! 💪"
"Dev er birthday, ekTa short sweet Banglish wish likhe de","""Shubho jonmodin Dev! 🎂 Tor bochor ta darun kaTuk, sob swopno purno hok. Onek bhalobasa r shubhechha roilo. 🎉"""
ei banglish line er banan/gathon thik kore de: 'or shathe amr kotha hoyeni',Or sathe amar kotha hoyni.
"Priya er birthday, ekTa short sweet Banglish wish likhe de","""Shubho jonmodin Priya! 🎂 Tor bochor ta darun kaTuk, sob swopno purno hok. Onek bhalobasa r shubhechha roilo. 🎉"""
ei message er intent/uddeshyo ek katha y bol: 'amr order ekhono aseni',Complaint (obhijog)
ei line ta polite/professional kore de: 'kaj ta kalke er modhye chai',"Ei kaj ta jodi kal er modhye sesh korte paren, khub bhalo hoy. Dhonnobad."
"Sneha er birthday, akta short sweet Banglish wish likhe de","""Shubho jonmodin Sneha! 🎂 Tor bochor ta darun kaTuk, sob swopno purno hok. Onek bhalobasa r shubhechha roilo. 🎉"""
1ta 3 diner Kolkata trip er short plan kre de,"3 din Kolkata:
Din 1: Victoria Memorial + Maidan, bikele Park Street e khawa-dawa.
Din 2: Dakshineswar + Belur Math, dupure Kumortuli, raate Prinsep Ghat.
Din 3: New Market shopping + College Street boi para, jawar aage biryani. 😋
Metro use korle time bachbe, traffic edano jabe."
tumi ekjon friendly cooking dada. ami jiggesh korchi: Maggi ekTu different kore kivabe banabo?,"Areh sohoj! Try kor ""Masala Maggi"":
1. Jol e Maggi + tastemaker dewar somoy ekTu piyaj-kuchi, kacha lonka, ar samanya
   halud de.
2. Prai hoye ele upore ekTa dim bhenge de, halka nere de.
3. Sesh e ektu ghee/makhon ar dhone pata — beshi bhalo lagbe!
Cheese thakle upore ektu grate kore de, ekdom restaurant feel. 😋 Ranna kore janas!"
"ei text ta positive, negative na neutral bol: 'ektuu chhoto hoye geche, tobe cholbe'","Mixed. Size niye halka complaint, tobe acceptable."
ei message er intent/uddeshyo ek katha y bol: 'koto taka porbe?',Dam jante chaiche
ekTa python function likhe de je duita number jog kore,"Nao:

```python
def jog(a, b):
    return a + b

print(jog(3, 5))   # output: 8
```

`jog` function ta duita number niye tader jogfol return kore."
Ananya ke dinner er jonno invite korte ekTa casual message likhe de,"""Ei Ananya, ei weekend e amar barite dinner e ay na! Onek din adda hoy na, eksathe kheye-daye jome jabe. Bol kobe free achis. 😄"""
Dev ke dinner er jonno invite korte ekTa casual message likhe de,"""Ei Dev, ei weekend e amar barite dinner e ay na! Onek din adda hoy na, eksathe kheye-daye jome jabe. Bol kobe free achis. 😄"""
ei line ta polite/professional kore de: 'order ta cancel koro',EkTa karone ei order ta cancel korte chaichi. Onugroho kore cancel kore refund process korle badhito thakbo.
"Rahul er birthday, akta short sweet Banglish wish likhe de","""Shubho jonmodin Rahul! 🎂 Tor bochor ta darun kaTuk, sob swopno purno hok. Onek bhalobasa r shubhechha roilo. 🎉"""
"interview e 'tell me about yourself' er answer Banglish e practice krte chai, 1ta example de","Ekta structure + example (tui nijer moto bodle nis):

Structure: (1) tui ke + ki koris, (2) ki valo paris/strength, (3) keno ei kaj ta chas.

Example:
""Ami [naam], ekjon [role/student]. Ami [skill] niye kaj korte bhalobasi ar [project/kaj]
er upor experience ache. Notun jinis shikhte ar problem solve korte amar bhalo lage,
sei jonyoi ei role ta amar jonno perfect mone hocche."""
ei line ta polite/professional kore de: 'kaj ta bhalo hoyni',Kaj tay kichu jaygay aro improve korar sujog ache — ekbar songe boste parle detail e dekhiye debo.
"ei text ta positive, negative na neutral bol: 'darun experience, 5 star'",Positive. Purno satisfaction.
ei banglish line er banan/gathon thik kore de: 'se khub bhalo chele ase',Se khub bhalo chele.
python e akta list ke reverse korbo kibhabe?,"Duita sohoj upay:
- `my_list[::-1]`  -> notun reversed list return kore.
- `my_list.reverse()`  -> in-place reverse kore (original tai bodle jay).

Example: `[1, 2, 3][::-1]` -> `[3, 2, 1]`."
ei line ta polite/professional kre de: 'taratari reply dao',"Apnar subidhamoto ekbar reply dile bhalo hoto, jehetu bishoy ta ektu somoy-sapekkho. Dhonnobad."
'I'll call you later' — eta Banglish e casually kibhabe bolbo?,"Casually: ""pore call korchi"" othoba ""porE phone korchi tomake""."
amake ekTa short good morning message de jeta bondhu der group e pathabo,"Kichu option:
1. ""Good morning sobai! Aajker din ta sobar valo kaTuk ☀️""
2. ""Uthe poro, chai ready 😄 Shubho sokal!""
3. ""Notun din, notun energy. Good morning! 🌸"""
Ananya ke deri howar jonno sorry bolte ekTa short message likhe de,"""Ananya, ajke deri kore fellam, sotti sorry. Iccha kore na, ektu atke gechilam. Ekbar janio, poshiye debo. 🙏"""
বাংলায় এক বছরে কয়টি ঋতু ও কী কী?,"ছয়টি ঋতু — গ্রীষ্ম, বর্ষা, শরৎ, হেমন্ত, শীত ও বসন্ত।"
ei English line ta Banglish e bol: 'Please let me know if you have any questions',"""Kono proshno thakle amake janio"" — ba ektu formal: ""Kono proshno thakle janaben."""
